,Position,Track Name,Streams,Chart Start Date,Chart End Date,Album Name,Release Date,Artist,Features,Song Duration(ms),Explicit,Url
0,1, Easy On Me by Adele ,"57,081,735",2021-10-22,2021-10-29,Easy On Me,2021-10-14,Adele,None,224694,False,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
1,2, STAY (with Justin Bieber) by The Kid LAROI ,"43,772,708",2021-10-22,2021-10-29,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,3, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"38,131,363",2021-10-22,2021-10-29,MONTERO,2021-09-17,Lil Nas X,Jack Harlow,212352,True,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,4, Heat Waves by Glass Animals ,"30,071,945",2021-10-22,2021-10-29,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,5, MONEY by LISA ,"27,961,856",2021-10-22,2021-10-29,LALISA,2021-09-10,LISA,None,168227,False,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
5,6," Cold Heart - PNAU Remix by Elton John, Dua Lipa ","27,674,586",2021-10-22,2021-10-29,The Lockdown Sessions,2021-10-22,Elton John,"Dua Lipa,PNAU",202735,False,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,7, Moth To A Flame (with The Weeknd) by Swedish House Mafia ,"27,137,069",2021-10-22,2021-10-29,Moth To A Flame,2021-10-22,Swedish House Mafia,The Weeknd,234000,False,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
7,8, Shivers by Ed Sheeran ,"26,334,187",2021-10-22,2021-10-29,Shivers,2021-09-13,Ed Sheeran,None,207853,False,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
8,9," My Universe by Coldplay, BTS ","25,632,159",2021-10-22,2021-10-29,Music Of The Spheres,2021-10-15,Coldplay,BTS,226198,False,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
9,10, Pepas by Farruko ,"25,389,829",2021-10-22,2021-10-29,La 167,2021-10-01,Farruko,None,287120,True,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
10,11, Bad Habits by Ed Sheeran ,"25,037,944",2021-10-22,2021-10-29,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
11,12, Woman by Doja Cat ,"23,187,278",2021-10-22,2021-10-29,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12,13, love nwantiti (ah ah ah) by CKay ,"21,602,782",2021-10-22,2021-10-29,CKay The First,2019-08-30,CKay,None,145800,True,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
13,14, love nwantiti (feat. Dj Yo! & AX'EL) - Remix by CKay ,"20,904,632",2021-10-22,2021-10-29,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,CKay,"DJ Yo,AX'EL",188368,False,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
14,15, THATS WHAT I WANT by Lil Nas X ,"19,629,995",2021-10-22,2021-10-29,MONTERO,2021-09-17,Lil Nas X,None,143901,True,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
15,16, good 4 u by Olivia Rodrigo ,"19,615,891",2021-10-22,2021-10-29,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
16,17, Beggin' by Måneskin ,"19,093,598",2021-10-22,2021-10-29,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
17,18, Need to Know by Doja Cat ,"18,735,754",2021-10-22,2021-10-29,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
18,19, Life Goes On by Oliver Tree ,"18,033,866",2021-10-22,2021-10-29,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,Oliver Tree,None,161803,False,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
19,20, MONTERO (Call Me By Your Name) by Lil Nas X ,"17,707,419",2021-10-22,2021-10-29,MONTERO,2021-09-17,Lil Nas X,None,137704,True,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
20,21, Lo Siento BB:/ (with Bad Bunny & Julieta Venegas) by Tainy ,"17,479,060",2021-10-22,2021-10-29,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Tainy,"Bad Bunny,Julieta Venegas",207301,False,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
21,22, Kiss Me More (feat. SZA) by Doja Cat ,"16,903,484",2021-10-22,2021-10-29,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,23, Happier Than Ever by Billie Eilish ,"16,337,007",2021-10-22,2021-10-29,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
23,24," Meet Me At Our Spot by THE ANXIETY, WILLOW, Tyler Cole ","14,407,480",2021-10-22,2021-10-29,THE ANXIETY,2020-03-13,THE ANXIETY,"WILLOW,Tyler Cole",162680,True,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
24,25, traitor by Olivia Rodrigo ,"13,885,924",2021-10-22,2021-10-29,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
